~AreaKey,~AreaName,~Region
085,カブト族駐屯地,ベリア村
086,バレノス西部高原,ベリア村
087,海岸の崖,ベリア村
088,オルビア村,オルビア村
089,老人の橋,オルビア村
090,テルミアン山のふもと,オルビア村
091,テルミアンの崖,オルビア村
092,オルビア海岸,オルビア村
093,ゴブリンの洞窟,ベリア村
094,トスカーニ農場,西部警備キャンプ
095,バルタリ農場,ベリア村
096,マリノ農場,西部警備キャンプ
097,ピント農場,ベリア村
098,クロン城跡,ベリア村
099,バレノス平原,ベリア村
100,フレーメの丘,西部警備キャンプ
101,アイワミーの丘,ベリア村
102,アグリス草原,西部警備キャンプ
103,ハイデル峡谷,ベリア村
104,海岸の崖,ベリア村
105,バレノス川,西部警備キャンプ
106,リンチ牧場,ハイデル都市
107,ケプラン村,ケプラン村
108,険しい山脈,カルフェオン首都
109,山岳地帯,カルフェオン首都
110,マルニ洞窟の道,ケプラン村
111,デーン峡谷,ケプラン村
112,サウニールキャンプ,ケプラン村
113,ヘッセ聖域,ベア村
114,ファウストの森,ケプラン村
115,伐採1,カルフェオン首都
116,伐採2,カルフェオン首都
117,ジャイアント族駐屯地,ケプラン村
118,北採石場,ケプラン村
119,フローリン村,フローリン村
120,エフェリア港町,エフェリア港町
121,難民キャンプ,カルフェオン首都
122,北部小麦農場,北部小麦農場
123,カルフェオン城,カルフェオン首都
124,カイア湖,カルフェオン首都
125,ベア村,ベア村
126,トレント村,トレント村
127,トリーナ要塞,ケプラン村
128,グラトニー洞窟,ケプラン村
129,マルニの実験場,ケプラン村
130,トリーナ狼煙台,ケプラン村
131,デミ川上流,カルフェオン首都
132,フォガン湿地,グリッシー村
133,南の山の小川,モレッティ巨大農場
134,納骨堂,ベリア村
135,海岸の洞窟,ベリア村
136,インプの洞窟,ベリア村
137,古代の石室,西部警備キャンプ
138,ゴブリンの洞窟,ベリア村
139,クザカ神殿,グリッシー村
140,渓谷の洞窟,グリッシー村
141,謎のベールに包まれた迷宮,グリッシー村
142,秘密の洞窟,ベリア村
143,秘密の洞窟,ベリア村
144,秘密の洞窟,ベリア村
145,秘密の洞窟,ハイデル都市
146,秘密の洞窟,ハイデル都市
147,秘密の洞窟,グリッシー村
148,秘密の洞窟,グリッシー村
149,秘密の洞窟,グリッシー村
150,秘密の洞窟,グリッシー村
151,秘密の洞窟,グリッシー村
152,秘密の洞窟,グリッシー村
153,バレノス山脈,ハイデル都市
154,デミ川,グリッシー村
155,監視塔の地下洞窟,グリッシー村
156,秘密の洞窟,グリッシー村
157,秘密の洞窟,ハイデル都市
158,秘密の洞窟,グリッシー村
159,地下室,ハイデル都市
160,地下室,グリッシー村
161,兵達の墓(険しい南部山脈),グリッシー村
162,険しいバレノス山脈,ベリア村
163,深海,ベリア村
164,山塞間道,ハイデル都市
165,南部山脈の水源地,モレッティ巨大農場
166,南部山脈,モレッティ巨大農場
167,中立地帯の小川,モレッティ巨大農場
168,王の森,ハイデル都市
169,レマ島,ベリア村
170,イリヤ島,イリヤ島
171,旧ダンデリオン,カルフェオン首都
172,ブリの木遺跡,フローリン村
173,捨てられた地,カルフェオン首都
174,ギュントの丘,カルフェオン首都
175,デルペ騎士団城,カルフェオン首都
176,デルペ前線基地,カルフェオン首都
177,クルト洞窟,カルフェオン首都
178,カプラス洞窟,フローリン村
179,遺跡地下,フローリン村
180,ワラゴンの洞窟,北部小麦農場
181,カランダ尾根,カルフェオン首都
182,トロル防御基地,カルフェオン首都
183,ワラゴン出没地,北部小麦農場
184,バレノス山脈,カルフェオン首都
185,汚染された農場,北部小麦農場
186,クルト洞窟,カルフェオン首都
187,カプラス洞窟,フローリン村
188,遺跡地下,フローリン村
189,ケプラン採石場,ケプラン村
190,アルティノ,アルティノ
191,メディア北部高原,アルティノ
192,石角海岸,アルティノ
193,アブン村,アルティノ
194,響きの地,アルティノ
195,石尻尾の荒地,アルティノ
196,石尻尾の丘馬牧場,アルティノ
197,アスルラ高原,タリフ村
198,腐敗の峡谷,アルティノ
199,廃鉄鉱山,アルティノ
200,オマル溶岩洞窟,タリフ村
201,メイン族巣窟,タリフ村
202,放浪盗賊駐屯地,タリフ村
203,森,アルティノ
204,崖,アルティノ
205,アルム岩渓谷,アルティノ
206,渓谷2,アルティノ
207,小さな島,アルティノ
208,バラン要塞,アルティノ
209,タリフ村,タリフ村
210,カーマスリブ寺院,アルティノ
211,ジュナイド川,
212,メディア城,
213,未知の領域,
214,山脈,
215,コロシアム,
216,コロシアム,
217,バレンシア,
218,砂漠の関所,
219,砂漠1,
220,砂漠2,
221,砂漠3,
222,岩場1,
223,岩場2,
224,岩場3,
225,放棄された採掘場,
226,ケプランの丘,
227,オージェ峠,
228,エフェリア警戒所,
229,獣人地域,
230,ワラゴン地域,
231,ケンタウロス地域,
232,クザカ司祭団地域,
233,ナーガ地域,
234,西部関所,
235,カルフェオン城跡,
236,廃採石場,
237,サイクロプスの土地,
238,エントの森,
239,南カイア山,
240,北カイア山,
241,ルツム族駐屯地,
242,放棄された修道院,
243,カイア川,
244,ルツム監視警戒所,
245,スラム街モスク,
246,カルフェオン神聖大学,
247,カリス広場,
248,カルフェオン首都,
249,監視塔,
250,コーエン農場,
251,北の関所,
252,エフェリア渓谷,
253,ギュント平原,
254,南部小麦農場,
255,ファラスのウシ牧場,
256,ヘッセ石垣,
257,ゲハク平原,
258,タルト岩三叉路,
259,狼煙台入口警戒所,
260,サウニール境界,
261,オベレン農場,
262,バイン農場,
263,ジアニン農場,
264,川沿いの農家,
265,採掘場抜け道,
266,ケプラン街角,
267,閉鎖された西部関所,
268,オージェの家,
269,峠,
270,ベア川水源地,
271,南カイア渡し場,
272,カイア湖,
273,カルフェオン城跡,
274,カイア湖,
275,伐採場休憩所,
276,トバレの小屋,
277,マンシャの森,
278,ロングリーフの木偵察警戒所,
279,北カイア渡し場,
280,ポニエル山荘,
281,カイア山下道,
282,ルアの木の根元,
283,ヘッセ聖域,
284,マリーの洞窟,
285,魔女の礼拝堂,
286,カルフェオン平野,
287,クリオ村,
288,ガビノ農場,
289,カルフェオン市場,
290,放棄された修道院,
291,クザカ神殿,
292,ロングリーフの森の洞窟,
293,グラトニー洞窟,
294,北採掘場,
295,秘密の洞窟,
296,南部山脈,
